Event_ID,Date,Ticker_or_Topic,News_Snippet,Source_URL,Market_Session
M_24_49,2024-10-01,ISM_Mfg,ISM Manufacturing PMI 47.2 (Contracting). Employment component weak. Fed 'policy error' fears briefly resurfaced. (Signal: Recession Fear),https://www.ismworld.org/supply-management-news-and-reports/reports/ism-report-on-business/,T
C_24_30,2024-10-02,NKE,Nike Q1 Earnings beat estimates but Revenue missed. Withdrew full-year guidance ahead of CEO transition. Stock fell. (Signal: Leadership Uncertainty),https://investors.nike.com/investors/news-events-and-reports/,T
M_24_44,2024-10-04,Jobs_Sept,(Released Oct) Sept Jobs +254k (Huge Beat). Unemployment fell to 4.1%. Crushed recession fears. Yields surged as market priced out 50bps cuts. (Signal: Good Economy / Rates Up),https://www.bls.gov/news.release/archives/empsit_10042024.htm,T
M_24_46,2024-10-10,CPI_Sept,(Released Oct) Sept CPI 2.4% (Hotter than 2.3% exp). Core 3.3%. 'Last mile' of inflation proving difficult. (Signal: Inflation Surprise),https://www.bls.gov/news.release/archives/cpi_10102024.htm,T
C_24_20,2024-10-11,JPM,"JPMorgan Q3 Profit beat estimates. Net Interest Income surprised to the upside. Jamie Dimon warned of geopolitical risks, but consumer remains 'healthy'. (Signal: Strong Beat / Macro Caution)",https://www.jpmorganchase.com/ir/quarterly-earnings,T
C_24_11,2024-10-15,ASML,ASML leaked earnings early: Bookings €2.6B (Huge Miss vs €5.6B exp). Cut 2025 guidance citing 'slow recovery' in non-AI chips. Triggered a global semi sell-off. (Signal: Disaster Signal),https://www.cnbc.com/2024/10/15/asml-earnings-report-q3-2024.html,T
C_24_18,2024-10-15,UNH,UnitedHealth beat Q3 earnings. BUT lowered top end of full-year guidance due to higher medical costs and coding audits. Stock dropped. (Signal: Beat but Guide Down),https://www.unitedhealthgroup.com/investors/financial-reports-and-filings/earnings-releases.html,T
C_24_21,2024-10-15,GS,Goldman Sachs Q3 Profit surged 45% on strong investment banking fees. Trading revenue also beat. Signals a rebound in M&A activity. (Signal: Sector Rebound Signal),https://www.goldmansachs.com/investor-relations/financials/current/earnings-release-presentation/,T
C_24_22,2024-10-15,BAC,"Bank of America Q3 Earnings beat estimates. Trading revenue rose 12%. Investment banking fees rose 18%. Warren Buffett has been selling the stock, creating a 'Results vs Guru Action' conflict. (Signal: Beat vs Insider Selling)",https://investor.bankofamerica.com/quarterly-earnings,T
C_24_23,2024-10-16,ASML_Followup,"(Market Reaction) Following ASML's miss, Nvidia and AMD stocks fell 4-5% in sympathy, creating a 'Guilt by Association' buying opportunity as their fundamentals remained strong. (Signal: Sympathy Drop (Noise))",https://www.cnbc.com/2024/10/16/chip-stocks-fall-after-asml-cuts-guidance.html,T
C_24_28,2024-10-17,NFLX,"Netflix Q3 Earnings beat. Subscriber adds +5M (Beat). Margins expanded. Said they will stop reporting subscriber numbers in 2025, creating long-term opacity fears. (Signal: Beat but Future Opacity)",https://ir.netflix.net/financials/quarterly-earnings/default.aspx,T+1
R003,2025-10-21,US_MARKETS,Wall Street ends mixed as banks rally on upbeat earnings while tech stocks lag,https://www.reuters.com/world/china/wall-street-futures-dip-us-china-tensions-weigh-2025-10-14/,T
R012,2025-10-21,NFLX,"Netflix misses earnings expectations, citing a tax dispute despite strong revenue growth",https://apnews.com/article/d01068a2087446893a662a9a6d3680eb,T
C_24_14,2024-10-22,V,"Visa Q4 Revenue/EPS beat estimates. Payment volume +8%. HOWEVER, the company faces a massive DOJ antitrust lawsuit filed in Sept, creating a 'Results vs Regulation' conflict. (Signal: Earnings Good / Legal Bad)",https://investor.visa.com/news/news-details/2024/Visa-Inc.-Reports-Fiscal-Fourth-Quarter-2024-Results/default.aspx,T+1
R001,2025-10-22,US_MARKETS,Wall Street ends lower on mixed earnings as Netflix disappointment and trade tensions dampen sentiment,https://www.reuters.com/world/africa/wall-st-futures-struggle-netflix-results-put-investors-guard-2025-10-22/,T
R002,2025-10-22,NFLX,Netflix shares fall over 10% as revenue outlook disappoints despite strong content lineup,https://www.reuters.com/business/media-telecom/netflix-slumps-revenue-forecast-disappoints-lofty-investor-expectations-2025-10-22/,T
