Event_ID,Date,Ticker_or_Topic,News_Snippet,Source_URL,Market_Session
R001,2025-10-22,US_MARKETS,"Wall Street ends lower on mixed earnings as Netflix disappointment and trade tensions dampen sentiment","https://www.reuters.com/world/africa/wall-st-futures-struggle-netflix-results-put-investors-guard-2025-10-22/",T
R002,2025-10-22,NFLX,"Netflix shares fall over 10% as revenue outlook disappoints despite strong content lineup","https://www.reuters.com/business/media-telecom/netflix-slumps-revenue-forecast-disappoints-lofty-investor-expectations-2025-10-22/",T
R003,2025-10-21,US_MARKETS,"Wall Street ends mixed as banks rally on upbeat earnings while tech stocks lag","https://www.reuters.com/world/china/wall-street-futures-dip-us-china-tensions-weigh-2025-10-14/",T
R004,2025-10-23,US_MARKETS,"U.S. stocks rise on mixed earnings and geopolitical news despite IBM shares falling","https://www.reuters.com/business/wall-street-futures-subdued-after-tesla-ibm-results-2025-10-23/",T
R005,2025-10-31,US_MARKETS,"Stocks rally ahead of a heavy earnings week, though concerns over Fed policy and AI valuations persist","https://www.reuters.com/business/wall-st-week-ahead-resilient-stocks-rally-faces-earnings-wave-after-ai-fed-2025-10-31/",T
R006,2025-11-06,TECH_SECTOR,"U.S. stocks close lower as technology shares sell off amid economic uncertainty","https://www.reuters.com/business/wall-st-futures-subdued-qualcomm-dips-focus-economic-data-2025-11-06/",T
R007,2025-11-17,US_LABOR,"White House adviser says jobs data send mixed labor market signals despite solid output","https://www.reuters.com/business/white-house-adviser-hassett-says-there-have-been-mixed-signals-job-market-2025-11-17/",T
R008,2025-11-20,US_JOBS,"U.S. job growth accelerates while unemployment rate rises, complicating the Fed outlook","https://www.reuters.com/business/us-job-growth-beats-expectations-september-unemployment-rate-rises-44-2025-11-20/",T
R009,2025-12-16,US_JOBS,"U.S. job growth rebounds in November but unemployment remains elevated after shutdown distortions","https://www.reuters.com/sustainability/sustainable-finance-reporting/us-job-growth-beats-expectations-november-unemployment-rate-46-2025-12-16/",T
R010,2025-12-31,US_JOBLESS_CLAIMS,"U.S. weekly jobless claims fall unexpectedly even as labor market softness persists","https://www.reuters.com/world/us/us-weekly-jobless-claims-fall-1-month-low-2025-12-31/",T+1
